programid,concertnumber,eventtype,location,venue,date,time
13927,1,None,None,None,1600-01-01,
3853,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1842-12-07,20:00
5178,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1843-02-18,20:00
10785,1,Special,"Manhattan, NY",Apollo Rooms,1843-04-07,20:00
5887,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1843-04-22,20:00
305,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1843-11-18,
3368,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1844-01-13,20:00
4226,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1844-03-16,
5087,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1844-05-18,
6310,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1844-11-16,20:00
1979,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1845-01-11,20:00
2821,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1845-03-01,20:00
3259,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1845-04-19,20:00
4919,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1845-11-22,20:00
562,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1846-01-17,20:00
1408,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1846-03-07,20:00
1851,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1846-04-25,20:00
2321,1,Special,"Manhattan, NY",Castle Garden,1846-05-20,
3540,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1846-11-21,20:00
6573,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1847-01-09,20:00
47,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1847-03-06,20:00
450,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1847-04-17,20:00
2178,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1847-11-27,20:00
5195,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1848-01-15,
10581,1,Special,"Manhattan, NY",Castle Garden,1848-02-05,20:00
6064,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1848-03-04,
6493,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1848-04-29,
1171,1,Subscription Season,"Manhattan, NY","Assembly Rooms, Chinese Buildings",1848-12-02,20:00
2607,1,Subscription Season,"Manhattan, NY","Assembly Rooms, Chinese Buildings",1849-01-27,20:00
3931,1,Subscription Season,"Manhattan, NY",Apollo Saloon,1849-03-17,20:00
5300,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1849-05-12,20:00
7278,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1849-11-24,20:00
571,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1850-01-12,20:00
1907,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1850-03-02,20:00
6269,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1850-04-20,20:00
792,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1850-11-23,20:00
1443,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1851-01-11,20:00
2806,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1851-03-01,20:00
7161,1,Subscription Season,"Manhattan, NY",Apollo Rooms,1851-04-26,20:00
1666,1,Subscription Season,"Manhattan, NY",Niblo's Concert Room,1851-11-22,20:00
2377,1,Subscription Season,"Manhattan, NY",Niblo's Concert Room,1852-01-10,20:00
6717,1,Subscription Season,"Manhattan, NY",Niblo's Concert Room,1852-02-28,20:00
682,1,Subscription Season,"Manhattan, NY",Niblo's Concert Room,1852-04-17,20:00
2574,1,Subscription Season,"Manhattan, NY",Niblo's Concert Saloon,1852-11-13,20:00
3266,1,Subscription Season,"Manhattan, NY",Niblo's Concert Saloon,1853-01-15,20:00
4607,1,Subscription Season,"Manhattan, NY",Niblo's Concert Saloon,1853-03-05,20:00
1583,1,Subscription Season,"Manhattan, NY",Niblo's Concert Saloon,1853-04-23,20:00
513,1,Subscription Season,"Manhattan, NY",Metropolitan Hall,1853-11-26,20:00
1191,1,Subscription Season,"Manhattan, NY",Broadway Tabernacle,1854-01-14,20:00
2561,1,Subscription Season,"Manhattan, NY",Broadway Tabernacle,1854-03-04,20:00
6902,1,Subscription Season,"Manhattan, NY",Broadway Tabernacle,1854-04-22,20:00
5792,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1854-12-02,20:00
2149,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1855-01-20,20:00
3474,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1855-03-10,20:00
421,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1855-04-21,20:00
6613,1,Special,"Manhattan, NY",Niblo's Garden,1855-05-19,20:00
2339,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1855-11-24,20:00
3023,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1856-01-12,20:00
4355,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1856-03-01,20:00
1292,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1856-04-19,20:00
3225,1,Subscription Season,"Manhattan, NY",Academy of Music,1856-11-22,20:00
3918,1,Subscription Season,"Manhattan, NY",Academy of Music,1857-01-10,20:00
5264,1,Subscription Season,"Manhattan, NY",Academy of Music,1857-03-07,20:00
2244,1,Subscription Season,"Manhattan, NY",Academy of Music,1857-04-25,20:00
4134,1,Subscription Season,"Manhattan, NY",Academy of Music,1857-11-21,20:00
4814,1,Subscription Season,"Manhattan, NY",Academy of Music,1858-01-09,20:00
6185,1,Subscription Season,"Manhattan, NY",Academy of Music,1858-03-06,20:00
3150,1,Subscription Season,"Manhattan, NY",Academy of Music,1858-04-24,20:00
2117,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1858-11-20,20:00
2785,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1859-01-08,20:00
7145,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1859-02-12,20:00
4122,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1859-03-26,20:00
1083,1,Subscription Season,"Manhattan, NY",Niblo's Garden,1859-04-30,20:00
3007,1,Subscription Season,"Manhattan, NY",Academy of Music,1859-11-19,20:00
3679,1,Subscription Season,"Manhattan, NY",Academy of Music,1860-01-07,20:00
663,1,Subscription Season,"Manhattan, NY",Academy of Music,1860-02-11,20:00
5011,1,Subscription Season,"Manhattan, NY",Academy of Music,1860-03-24,20:00
2014,1,Subscription Season,"Manhattan, NY",Academy of Music,1860-04-28,20:00
3879,1,Subscription Season,"Manhattan, NY",Academy of Music,1860-11-10,20:00
858,1,Subscription Season,"Manhattan, NY",Academy of Music,1860-12-22,20:00
1541,1,Subscription Season,"Manhattan, NY",Academy of Music,1861-02-02,20:00
5937,1,Subscription Season,"Manhattan, NY",Academy of Music,1861-03-16,20:00
2887,1,Subscription Season,"Manhattan, NY",Academy of Music,1861-04-20,20:00
11479,1,Special,"Manhattan, NY",Academy of Music,1861-05-25,19:30
4794,1,Subscription Season,"Manhattan, NY",Irving Hall,1861-11-09,20:00
1738,1,Subscription Season,"Manhattan, NY",Irving Hall,1861-12-21,20:00
2457,1,Subscription Season,"Manhattan, NY",Irving Hall,1862-02-01,
6795,1,Subscription Season,"Manhattan, NY",Irving Hall,1862-03-15,20:00
3788,1,Subscription Season,"Manhattan, NY",Irving Hall,1862-04-26,20:00
2737,1,Subscription Season,"Manhattan, NY",Irving Hall,1862-11-08,20:00
7100,1,Subscription Season,"Manhattan, NY",Irving Hall,1862-12-20,20:00
3446,1,Subscription Season,"Manhattan, NY",Irving Hall,1863-01-31,20:00
4783,1,Subscription Season,"Manhattan, NY",Irving Hall,1863-03-14,20:00
1726,1,Subscription Season,"Manhattan, NY",Irving Hall,1863-04-25,20:00
3648,1,Subscription Season,"Manhattan, NY",Academy of Music,1863-11-07,20:00
618,1,Subscription Season,"Manhattan, NY",Academy of Music,1863-12-19,20:00
4331,1,Subscription Season,"Manhattan, NY",Academy of Music,1864-01-30,20:00
5659,1,Subscription Season,"Manhattan, NY",Academy of Music,1864-03-12,20:00
4442,1,Subscription Season,"Manhattan, NY",Academy of Music,1864-04-02,20:00
2625,1,Subscription Season,"Manhattan, NY",Academy of Music,1864-04-23,20:00
4537,1,Subscription Season,"Manhattan, NY",Academy of Music,1864-11-05,20:00
1487,1,Subscription Season,"Manhattan, NY",Academy of Music,1864-12-17,20:00
5230,1,Subscription Season,"Manhattan, NY",Academy of Music,1865-01-28,20:00
6560,1,Subscription Season,"Manhattan, NY",Academy of Music,1865-03-11,20:00
3526,1,Subscription Season,"Manhattan, NY",Academy of Music,1865-04-29,20:00
5442,1,Subscription Season,"Manhattan, NY",Academy of Music,1865-11-04,20:00
2423,1,Subscription Season,"Manhattan, NY",Academy of Music,1865-12-16,20:00
6144,1,Subscription Season,"Manhattan, NY",Academy of Music,1866-01-27,20:00
76,1,Subscription Season,"Manhattan, NY",Academy of Music,1866-03-10,20:00
4433,1,Subscription Season,"Manhattan, NY",Academy of Music,1866-04-21,20:00
3403,1,Subscription Season,"Manhattan, NY",Steinway Hall,1866-11-17,20:00
349,1,Subscription Season,"Manhattan, NY",Steinway Hall,1866-12-15,20:00
4096,1,Subscription Season,"Manhattan, NY",Steinway Hall,1867-01-26,20:00
5423,1,Subscription Season,"Manhattan, NY",Steinway Hall,1867-03-09,20:00
2397,1,Subscription Season,"Manhattan, NY",Steinway Hall,1867-04-20,20:00
6733,1,Subscription Season,"Manhattan, NY",Steinway Hall,1867-05-04,20:00
4299,1,Subscription Season,"Manhattan, NY",Academy of Music,1867-11-16,20:00
1229,1,Subscription Season,"Manhattan, NY",Academy of Music,1867-12-21,20:00
1965,1,Subscription Season,"Manhattan, NY",Academy of Music,1868-02-01,20:00
6303,1,Subscription Season,"Manhattan, NY",Academy of Music,1868-03-07,20:00
3291,1,Subscription Season,"Manhattan, NY",Academy of Music,1868-04-18,20:00
5193,1,Subscription Season,"Manhattan, NY",Academy of Music,1868-11-28,20:00
5879,1,Subscription Season,"Manhattan, NY",Academy of Music,1869-01-09,20:00
2845,1,Subscription Season,"Manhattan, NY",Academy of Music,1869-02-06,20:00
7193,1,Subscription Season,"Manhattan, NY",Academy of Music,1869-03-06,20:00
4196,1,Subscription Season,"Manhattan, NY",Academy of Music,1869-04-10,20:00
1138,1,Subscription Season,"Manhattan, NY",Academy of Music,1869-05-08,20:00
6098,1,Subscription Season,"Manhattan, NY",Academy of Music,1869-11-27,20:00
6753,1,Subscription Season,"Manhattan, NY",Academy of Music,1870-01-08,20:00
3737,1,Subscription Season,"Manhattan, NY",Academy of Music,1870-02-05,20:00
710,1,Subscription Season,"Manhattan, NY",Academy of Music,1870-03-05,20:00
5080,1,Subscription Season,"Manhattan, NY",Academy of Music,1870-04-02,20:00
2096,1,Subscription Season,"Manhattan, NY",Academy of Music,1870-05-07,20:00
6945,1,Subscription Season,"Manhattan, NY",Academy of Music,1870-11-26,20:00
5760,1,Subscription Season,"Manhattan, NY",Academy of Music,1870-12-17,20:00
273,1,Subscription Season,"Manhattan, NY",Academy of Music,1871-01-07,20:00
4634,1,Subscription Season,"Manhattan, NY",Academy of Music,1871-02-04,20:00
1613,1,Subscription Season,"Manhattan, NY",Academy of Music,1871-03-04,20:00
6034,1,Subscription Season,"Manhattan, NY",Academy of Music,1871-04-01,20:00
2993,1,Subscription Season,"Manhattan, NY",Academy of Music,1871-05-06,20:00
1901,1,Subscription Season,"Manhattan, NY",Academy of Music,1871-12-02,20:00
5615,1,Subscription Season,"Manhattan, NY",Academy of Music,1872-01-06,20:00
2591,1,Subscription Season,"Manhattan, NY",Academy of Music,1872-02-03,20:00
6927,1,Subscription Season,"Manhattan, NY",Academy of Music,1872-03-02,20:00
3925,1,Subscription Season,"Manhattan, NY",Academy of Music,1872-04-06,20:00
894,1,Subscription Season,"Manhattan, NY",Academy of Music,1872-05-04,20:00
5828,1,Subscription Season,"Manhattan, NY",Academy of Music,1872-11-16,20:00
2804,1,Subscription Season,"Manhattan, NY",Academy of Music,1872-12-14,20:00
6521,1,Subscription Season,"Manhattan, NY",Academy of Music,1873-01-18,20:00
3498,1,Subscription Season,"Manhattan, NY",Academy of Music,1873-02-15,20:00
437,1,Subscription Season,"Manhattan, NY",Academy of Music,1873-03-15,20:00
4822,1,Subscription Season,"Manhattan, NY",Academy of Music,1873-04-19,20:00
6713,1,Subscription Season,"Manhattan, NY",Academy of Music,1873-11-15,20:00
3697,1,Subscription Season,"Manhattan, NY",Academy of Music,1873-12-13,20:00
16,1,Subscription Season,"Manhattan, NY",Academy of Music,1874-01-17,20:00
4378,1,Subscription Season,"Manhattan, NY",Academy of Music,1874-02-14,20:00
1328,1,Subscription Season,"Manhattan, NY",Academy of Music,1874-03-14,20:00
5735,1,Subscription Season,"Manhattan, NY",Academy of Music,1874-04-18,20:00
238,1,Subscription Season,"Manhattan, NY",Academy of Music,1874-11-14,20:00
4603,1,Subscription Season,"Manhattan, NY",Academy of Music,1874-12-12,20:00
907,1,Subscription Season,"Manhattan, NY",Academy of Music,1875-01-23,20:00
5295,1,Subscription Season,"Manhattan, NY",Academy of Music,1875-02-20,20:00
2273,1,Subscription Season,"Manhattan, NY",Academy of Music,1875-03-20,20:00
6639,1,Subscription Season,"Manhattan, NY",Academy of Music,1875-04-24,20:00
5578,1,Subscription Season,"Manhattan, NY",Academy of Music,1875-11-13,20:00
2558,1,Subscription Season,"Manhattan, NY",Academy of Music,1875-12-11,20:00
6264,1,Subscription Season,"Manhattan, NY",Academy of Music,1876-01-22,20:00
3240,1,Subscription Season,"Manhattan, NY",Academy of Music,1876-02-19,20:00
212,1,Subscription Season,"Manhattan, NY",Academy of Music,1876-03-18,20:00
4583,1,Subscription Season,"Manhattan, NY",Academy of Music,1876-04-22,20:00
6488,1,Subscription Season,"Manhattan, NY",Academy of Music,1876-11-04,20:00
11481,1,Special,"Manhattan, NY",Steinway Hall,1876-11-12,20:00
11474,1,Special,"Manhattan, NY",Steinway Hall,1876-11-14,20:00
3469,1,Subscription Season,"Manhattan, NY",Academy of Music,1876-12-09,20:00
7159,1,Subscription Season,"Manhattan, NY",Academy of Music,1877-01-13,20:00
4148,1,Subscription Season,"Manhattan, NY",Academy of Music,1877-02-17,20:00
1105,1,Subscription Season,"Manhattan, NY",Academy of Music,1877-03-24,20:00
5492,1,Subscription Season,"Manhattan, NY",Academy of Music,1877-04-28,20:00
7360,1,Subscription Season,"Manhattan, NY",Academy of Music,1877-11-24,20:00
4353,1,Subscription Season,"Manhattan, NY",Academy of Music,1877-12-22,20:00
680,1,Subscription Season,"Manhattan, NY",Academy of Music,1878-01-12,20:00
5040,1,Subscription Season,"Manhattan, NY",Academy of Music,1878-02-09,20:00
2052,1,Subscription Season,"Manhattan, NY",Academy of Music,1878-03-09,20:00
6383,1,Subscription Season,"Manhattan, NY",Academy of Music,1878-04-06,20:00
8764,1,Subscription Season,"Manhattan, NY",Steinway Hall,1878-11-07,14:00
8764,2,Subscription Season,"Manhattan, NY",Steinway Hall,1878-11-09,20:00
886,1,Subscription Season,"Manhattan, NY",Academy of Music,1878-11-23,20:00
2580,1,Subscription Season,"Manhattan, NY",Steinway Hall,1878-12-05,
2580,2,Subscription Season,"Manhattan, NY",Steinway Hall,1878-12-07,
5260,1,Subscription Season,"Manhattan, NY",Academy of Music,1878-12-21,20:00
11600,1,Subscription Season,"Manhattan, NY",Steinway Hall,1878-12-28,20:00
2703,1,Subscription Season,"Manhattan, NY",Steinway Hall,1879-01-02,14:00
2703,2,Subscription Season,"Manhattan, NY",Steinway Hall,1879-01-04,20:00
1577,1,Subscription Season,"Manhattan, NY",Academy of Music,1879-01-11,20:00
2829,1,Subscription Season,"Manhattan, NY",Steinway Hall,1879-01-30,14:00
2829,2,Subscription Season,"Manhattan, NY",Steinway Hall,1879-02-01,20:00
5980,1,Subscription Season,"Manhattan, NY",Academy of Music,1879-02-08,20:00
10128,1,Chamber,"Manhattan, NY",Steinway Hall,1879-02-09,20:00
10109,1,Chamber,"Manhattan, NY",Steinway Hall,1879-02-15,14:00
2877,1,Subscription Season,"Manhattan, NY",Steinway Hall,1879-03-01,20:00
2945,1,Subscription Season,"Manhattan, NY",Academy of Music,1879-03-08,20:00
3653,1,Subscription Season,"Manhattan, NY",Steinway Hall,1879-03-27,14:00
3653,2,Subscription Season,"Manhattan, NY",Steinway Hall,1879-03-29,20:00
10110,1,Chamber,"Manhattan, NY",Chickering Hall,1879-04-01,20:00
7294,1,Subscription Season,"Manhattan, NY",Academy of Music,1879-04-05,20:00
9864,1,Subscription Season,"Manhattan, NY",Steinway Hall,1879-04-16,14:00
10111,1,Chamber,"Manhattan, NY",Chickering Hall,1879-11-05,
3750,1,Subscription Season,"Manhattan, NY",Steinway Hall,1879-11-06,14:00
3750,2,Subscription Season,"Manhattan, NY",Steinway Hall,1879-11-08,20:00
6236,1,Subscription Season,"Manhattan, NY",Academy of Music,1879-11-21,20:00
10112,1,Chamber,"Manhattan, NY",Chickering Hall,1879-12-02,
3876,1,Subscription Season,"Manhattan, NY",Steinway Hall,1879-12-04,14:00
3876,2,Subscription Season,"Manhattan, NY",Steinway Hall,1879-12-06,20:00
3207,1,Subscription Season,"Manhattan, NY",Academy of Music,1879-12-20,20:00
11601,1,Subscription Season,"Manhattan, NY",Steinway Hall,1879-12-27,20:00
10113,1,Chamber,"Manhattan, NY",Chickering Hall,1880-01-06,
4793,1,Subscription Season,"Manhattan, NY",Steinway Hall,1880-01-15,14:00
4793,2,Subscription Season,"Manhattan, NY",Steinway Hall,1880-01-17,20:00
6899,1,Subscription Season,"Manhattan, NY",Academy of Music,1880-01-24,20:00
4813,1,Subscription Season,"Manhattan, NY",Steinway Hall,1880-02-12,14:00
4813,2,Subscription Season,"Manhattan, NY",Steinway Hall,1880-02-14,20:00
4813,3,Subscription Season,"Manhattan, NY",Steinway Hall,1880-02-18,20:00
4813,4,Subscription Season,"Manhattan, NY",Steinway Hall,1880-02-25,20:00
4813,5,Subscription Season,"Manhattan, NY",Steinway Hall,1880-04-01,14:00
4813,6,Subscription Season,"Manhattan, NY",Steinway Hall,1880-04-03,20:00
3895,1,Subscription Season,"Manhattan, NY",Academy of Music,1880-02-21,20:00
4916,1,Subscription Season,"Manhattan, NY",Steinway Hall,1880-03-11,
4916,2,Subscription Season,"Manhattan, NY",Steinway Hall,1880-03-13,
871,1,Subscription Season,"Manhattan, NY",Academy of Music,1880-03-20,20:00
5810,1,Subscription Season,"Manhattan, NY",Steinway Hall,1880-04-15,14:00
5810,2,Subscription Season,"Manhattan, NY",Steinway Hall,1880-04-17,20:00
5245,1,Subscription Season,"Manhattan, NY",Academy of Music,1880-04-24,20:00
5850,1,Subscription Season,"Manhattan, NY",Steinway Hall,1880-11-04,
5850,2,Subscription Season,"Manhattan, NY",Steinway Hall,1880-11-06,
7140,1,Subscription Season,"Manhattan, NY",Academy of Music,1880-11-13,20:00
6007,1,Subscription Season,"Manhattan, NY",Steinway Hall,1880-12-02,
6007,2,Subscription Season,"Manhattan, NY",Steinway Hall,1880-12-04,
4118,1,Subscription Season,"Manhattan, NY",Academy of Music,1880-12-11,20:00
11602,1,Subscription Season,"Manhattan, NY",Steinway Hall,1880-12-29,20:00
6019,1,Subscription Season,"Manhattan, NY",Steinway Hall,1881-01-06,14:00
6019,2,Subscription Season,"Manhattan, NY",Steinway Hall,1881-01-08,20:00
415,1,Subscription Season,"Manhattan, NY",Academy of Music,1881-01-15,20:00
6721,1,Subscription Season,"Manhattan, NY",Steinway Hall,1881-02-03,14:00
6721,2,Subscription Season,"Manhattan, NY",Steinway Hall,1881-02-05,20:00
4805,1,Subscription Season,"Manhattan, NY",Academy of Music,1881-02-12,20:00
6866,1,Subscription Season,"Manhattan, NY",Steinway Hall,1881-03-03,
6866,2,Subscription Season,"Manhattan, NY",Steinway Hall,1881-03-05,
1751,1,Subscription Season,"Manhattan, NY",Academy of Music,1881-03-12,20:00
6939,1,Subscription Season,"Manhattan, NY",Steinway Hall,1881-03-31,14:00
6939,2,Subscription Season,"Manhattan, NY",Steinway Hall,1881-04-02,20:00
6165,1,Subscription Season,"Manhattan, NY",Academy of Music,1881-04-09,20:00
6976,1,Subscription Season,"Manhattan, NY",Steinway Hall,1881-11-03,14:00
6976,2,Subscription Season,"Manhattan, NY",Steinway Hall,1881-11-05,20:00
656,1,Subscription Season,"Manhattan, NY",Academy of Music,1881-11-12,20:00
8016,1,Subscription Season,"Manhattan, NY",Steinway Hall,1881-12-01,14:00
8016,2,Subscription Season,"Manhattan, NY",Steinway Hall,1881-12-03,20:00
5007,1,Subscription Season,"Manhattan, NY",Academy of Music,1881-12-10,20:00
11603,1,Subscription Season,"Manhattan, NY",Steinway Hall,1881-12-29,20:00
8017,1,Subscription Season,"Manhattan, NY",Steinway Hall,1882-01-05,14:00
8017,2,Subscription Season,"Manhattan, NY",Steinway Hall,1882-01-07,20:00
1289,1,Subscription Season,"Manhattan, NY",Academy of Music,1882-01-14,20:00
8018,1,Subscription Season,"Manhattan, NY",Steinway Hall,1882-02-02,14:00
8018,2,Subscription Season,"Manhattan, NY",Steinway Hall,1882-02-04,20:00
5703,1,Subscription Season,"Manhattan, NY",Academy of Music,1882-02-11,20:00
8019,1,Subscription Season,"Manhattan, NY",Steinway Hall,1882-03-02,14:00
8019,2,Subscription Season,"Manhattan, NY",Steinway Hall,1882-03-04,20:00
2672,1,Subscription Season,"Manhattan, NY",Academy of Music,1882-03-11,20:00
8020,1,Subscription Season,"Manhattan, NY",Steinway Hall,1882-04-06,14:00
8020,2,Subscription Season,"Manhattan, NY",Steinway Hall,1882-04-08,20:00
7006,1,Subscription Season,"Manhattan, NY",Academy of Music,1882-04-15,20:00
8021,1,Subscription Season,"Manhattan, NY",Academy of Music,1882-11-03,14:00
8021,2,Subscription Season,"Manhattan, NY",Academy of Music,1882-11-04,20:00
1534,1,Subscription Season,"Manhattan, NY",Academy of Music,1882-11-11,20:00
5932,1,Subscription Season,"Manhattan, NY",Academy of Music,1882-12-09,20:00
8022,1,Subscription Season,"Manhattan, NY",Academy of Music,1882-12-15,14:00
8022,2,Subscription Season,"Manhattan, NY",Academy of Music,1882-12-16,20:00
11604,1,Subscription Season,"Manhattan, NY",Steinway Hall,1882-12-27,20:00
2238,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-01-06,20:00
8023,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-01-12,14:00
8023,2,Subscription Season,"Manhattan, NY",Academy of Music,1883-01-13,20:00
6599,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-02-10,20:00
8025,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-02-16,14:00
8025,2,Subscription Season,"Manhattan, NY",Academy of Music,1883-02-17,20:00
3574,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-03-10,20:00
8026,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-03-30,
8026,2,Subscription Season,"Manhattan, NY",Academy of Music,1883-03-31,
528,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-04-07,20:00
8027,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-04-27,14:00
8027,2,Subscription Season,"Manhattan, NY",Academy of Music,1883-04-28,20:00
6875,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-11-10,20:00
8028,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-11-16,14:00
8028,2,Subscription Season,"Manhattan, NY",Academy of Music,1883-11-17,20:00
8029,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-12-07,14:00
8029,2,Subscription Season,"Manhattan, NY",Academy of Music,1883-12-08,08:00
3868,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-12-15,20:00
11605,1,Subscription Season,"Manhattan, NY",Academy of Music,1883-12-27,20:00
8030,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-01-04,14:00
8030,2,Subscription Season,"Manhattan, NY",Academy of Music,1884-01-05,20:00
187,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-01-19,20:00
8031,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-02-08,14:00
8031,2,Subscription Season,"Manhattan, NY",Academy of Music,1884-02-09,20:00
4553,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-02-16,20:00
8032,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-03-07,14:00
8032,2,Subscription Season,"Manhattan, NY",Academy of Music,1884-03-08,20:00
1508,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-03-15,20:00
8033,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-04-04,14:00
8033,2,Subscription Season,"Manhattan, NY",Academy of Music,1884-04-05,20:00
5910,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-04-19,20:00
378,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-11-15,20:00
8034,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-11-21,
8034,2,Subscription Season,"Manhattan, NY",Academy of Music,1884-11-22,
4775,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-12-13,20:00
8037,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-12-19,14:00
8037,2,Subscription Season,"Manhattan, NY",Academy of Music,1884-12-20,20:00
11606,1,Subscription Season,"Manhattan, NY",Academy of Music,1884-12-27,20:00
1078,1,Subscription Season,"Manhattan, NY",Academy of Music,1885-01-10,20:00
8038,1,Subscription Season,"Manhattan, NY",Academy of Music,1885-01-23,14:00
8038,2,Subscription Season,"Manhattan, NY",Academy of Music,1885-01-24,20:00
5462,1,Subscription Season,"Manhattan, NY",Academy of Music,1885-02-14,20:00
2436,1,Subscription Season,"Manhattan, NY",Academy of Music,1885-03-14,20:00
8039,1,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1885-03-27,14:00
8039,2,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1885-03-28,20:00
6771,1,Subscription Season,"Manhattan, NY",Academy of Music,1885-04-11,20:00
8044,1,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1885-04-23,14:00
8044,2,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1885-04-24,20:00
8045,1,Subscription Season,"Manhattan, NY",Academy of Music,1885-05-01,
8045,2,Subscription Season,"Manhattan, NY",Academy of Music,1885-05-02,
8046,1,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1885-11-06,
8046,2,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1885-11-07,
1268,1,Subscription Season,"Manhattan, NY",Academy of Music,1885-11-14,20:00
8047,1,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1885-12-04,
8047,2,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1885-12-05,
5654,1,Subscription Season,"Manhattan, NY",Academy of Music,1885-12-12,20:00
11607,1,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1885-12-19,20:00
2010,1,Subscription Season,"Manhattan, NY",Academy of Music,1886-01-09,20:00
8048,1,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1886-01-15,
8048,2,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1886-01-16,
8049,1,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1886-02-05,
8049,2,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1886-02-06,
6339,1,Subscription Season,"Manhattan, NY",Academy of Music,1886-02-13,20:00
8050,1,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1886-03-05,
8050,2,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1886-03-06,
10114,1,Chamber,"Manhattan, NY",Chickering Hall,1886-03-09,20:00
3342,1,Subscription Season,"Manhattan, NY",Academy of Music,1886-03-13,20:00
8051,1,Subscription Season,"Manhattan, NY",Metropolitan Opera House (39th street),1886-04-02,
