programid,concertnumber,eventtype,location,venue,date,time
7504,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-05-11,19:30
7505,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-05-13,19:00
7505,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-05-15,19:00
7505,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-05-18,19:00
7568,1,Chamber,"Manhattan, NY",Merkin Concert Hall,1993-05-16,15:00
7506,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-05-20,20:00
7506,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-05-21,20:00
7506,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-05-22,20:00
7506,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-05-25,19:30
7633,1,Special,"Manhattan, NY",Damrosch Park,1993-05-26,21:45
7507,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-05-27,20:00
7507,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-05-28,14:00
7507,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-05-29,20:00
7629,1,St. John the Divine,"Manhattan, NY",The Cathedral Church of Saint John the Divine,1993-05-31,20:00
7508,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-06-03,20:00
7508,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-06-04,20:00
7508,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-06-05,20:00
7508,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-06-08,19:30
7512,1,Young People's Concert,"Manhattan, NY",Avery Fisher Hall,1993-06-05,14:00
7509,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-06-10,20:00
7509,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-06-11,14:00
7509,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-06-12,20:00
7510,1,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-06-16,20:00
7510,2,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-06-17,20:00
7510,3,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-06-18,20:00
7510,4,Subscription Season,"Manhattan, NY",Avery Fisher Hall,1993-06-19,20:00
7569,1,Chamber,"Manhattan, NY",Merkin Concert Hall,1993-06-20,15:00
10000,1,Parks,"Manhattan, NY",Great Lawn,1993-06-26,20:00
7642,1,Parks,"Manhattan, NY",Great Lawn,1993-06-28,20:00
7642,2,Parks,"Staten Island, NY",Great Kills Park,1993-07-06,20:00
7642,3,Parks,"Brooklyn, NY",Prospect Park,1993-07-08,20:00
7642,4,Parks,"Queens, NY",Cunningham Park,1993-07-09,20:00
7642,5,Parks,"East Islip, NY",Heckscher State Park,1993-07-10,20:00
7649,1,Parks,"Bronx, NY",Van Cortlandt Park,1993-06-29,20:00
7641,1,Parks,"Valhalla, NY",Westchester Community College,1993-07-03,20:00
7641,2,Parks,"Manhattan, NY",Great Lawn,1993-07-04,20:00
7630,1,Festival,"Manhattan, NY",Carnegie Hall,1993-07-14,20:00
7630,2,Festival,"Manhattan, NY",Carnegie Hall,1993-07-15,20:00
7643,1,Pre-Concert Recital,"Manhattan, NY",Carnegie Hall,1993-07-21,18:45
7643,2,Pre-Concert Recital,"Manhattan, NY",Carnegie Hall,1993-07-22,18:45
7631,1,Festival,"Manhattan, NY",Carnegie Hall,1993-07-21,20:00
7631,2,Festival,"Manhattan, NY",Carnegie Hall,1993-07-22,20:00
7644,1,Pre-Concert Recital,"Manhattan, NY",Carnegie Hall,1993-07-28,18:45
7644,2,Pre-Concert Recital,"Manhattan, NY",Carnegie Hall,1993-07-29,18:45
